unixtime,load1,load2,load3,price
1432363500,0.097,0.065,0.009,20.21
1432364400,0.101,0.08,0.059,20.21
1432365300,0.08,0.07,0.011,22.61
1432366200,0.1,0.075,0,22.61
1432367100,0.08,0.08,0,22.61
1432368000,0.092,0.09,0,22.61
1432368900,0.1,0.085,0,24.92
1432369800,0.105,0.08,0,24.92
1432370700,0.1,0.08,0,24.92
1432371600,0.173,0.165,0,24.92
1432372500,0.765,0.04,0,26.08
1432373400,0.832,0.045,0,26.08
1432374300,0.635,0.07,0,26.08
1432375200,0.518,0,0,26.08
1432376100,0.317,0,0,25.6
1432377000,0.157,0,0,25.6
1432377900,0.126,0.01,0,25.6
1432378800,0.107,0,0,25.6
1432379700,0.095,0,0,25.53
1432380600,0.105,0,0,25.53
1432381500,0.418,0,0,25.53
1432382400,0.255,0,0,25.53
1432383300,0.127,0,0,24.3
1432384200,0.415,0,0,24.3
1432385100,0.277,0,0,24.3
1432386000,0.401,0,0,24.3
1432386900,0.489,0,0,22.18
1432387800,0.565,0,0,22.18
1432388700,0.238,0,0,22.18
1432389600,0.105,0,0,22.18
1432390500,0.093,0,0,20.42
1432391400,0.122,0,0,20.42
1432392300,0.108,0.075,0.009,20.42
1432393200,0.11,0.355,0.001,20.42
1432394100,0.142,0.435,0.012,19.48
1432395000,0.113,0.06,0.046,19.48
1432395900,0.095,0.015,0.066,19.48
1432396800,0.082,0,0.067,19.48
1432397700,0.087,0,0.058,19.42
1432398600,0.111,0,0.049,19.42
1432399500,0.082,0,0.063,19.42
1432400400,0.098,0,0.057,19.42
1432401300,0.137,0,0.049,21.9
1432402200,0.122,0,0.07,21.9
1432403100,0.108,0,0.033,21.9
1432404000,0.11,0.06,0.047,21.9
1432404900,0.123,0.155,0.068,25.76
1432405800,0.144,0.035,0.054,25.76
1432406700,0.263,0,0.055,25.76
1432407600,0.13,0,0.082,25.76
1432408500,0.157,0.01,0.081,29.57
1432409400,0.116,0.01,0.069,29.57
1432410300,0.12,0.01,0.067,29.57
1432411200,0.117,0.075,0.08,29.57
1432412100,0.123,0.14,0.082,29.35
1432413000,0.147,0.335,0.056,29.35
1432413900,0.113,0.545,0.036,29.35
1432414800,0.12,0.11,0.042,29.35
1432415700,0.109,0.12,0.048,29.58
1432416600,0.138,0.12,0.051,29.58
1432417500,0.13,0.125,0.042,29.58
1432418400,0.123,0.105,0.027,29.58
