load1,load2,load3,price
0.122,0.0,0.07,21.9
0.108,0.0,0.033,21.9
0.11,0.06,0.047,21.9
0.123,0.155,0.068,25.76
0.144,0.035,0.054,25.76
0.263,0.0,0.055,25.76
0.13,0.0,0.082,25.76
0.157,0.01,0.081,29.57
0.116,0.01,0.069,29.57
0.12,0.01,0.067,29.57
0.117,0.075,0.08,29.57
0.123,0.14,0.082,29.35
0.147,0.335,0.056,29.35
0.113,0.545,0.036,29.35
0.12,0.11,0.042,29.35
0.109,0.12,0.048,29.58
0.138,0.12,0.051,29.58
0.13,0.125,0.042,29.58
0.123,0.105,0.027,29.58
0.1,0.11,0.04,30.0
0.089,0.11,0.039,30.0
0.071,0.105,0.024,30.0
0.072,0.055,0.047,30.0
0.088,0.045,0.045,27.67
0.087,0.055,0.035,27.67
0.085,0.065,0.06,27.67
0.088,0.07,0.041,27.67
0.077,0.07,0.022,25.24
0.075,0.065,0.047,25.24
0.088,0.07,0.032,25.24
0.07,0.065,0.029,25.24
0.092,0.055,0.04,19.84
0.098,0.05,0.04,19.84
0.07,0.055,0.039,19.84
0.082,0.05,0.05,19.84
0.08,0.055,0.05,19.06
0.078,0.045,0.035,19.06
0.072,0.05,0.03,19.06
0.09,0.05,0.035,19.06
0.09,0.07,0.046,17.88
0.077,0.055,0.127,17.88
0.08,0.065,0.067,17.88
0.128,0.06,0.108,17.88
0.075,0.065,0.068,17.55
0.108,0.045,0.054,17.55
0.099,0.05,0.048,17.55
0.09,0.04,0.018,17.55
0.111,0.05,0.007,15.96
0.08,0.04,0.01,15.96
0.072,0.05,0.0,15.96
0.1,0.04,0.0,15.96
0.088,0.05,0.0,14.94
0.115,0.06,0.0,14.94
0.187,0.065,0.0,14.94
0.11,0.065,0.0,14.94
0.097,0.06,0.0,16.15
0.101,0.05,0.0,16.15
0.472,0.02,0.0,16.15
0.265,0.01,0.0,16.15
0.24,0.0,0.0,17.48
0.233,0.0,0.0,17.48
0.245,0.0,0.0,17.48
0.237,0.0,0.0,17.48
0.247,0.0,0.0,19.3
0.518,0.0,0.0,19.3
0.235,0.0,0.122,19.3
0.475,0.0,0.123,19.3
0.383,0.0,0.045,19.86
0.099,0.0,0.0,19.86
0.101,0.0,0.0,19.86
0.237,0.0,0.0,19.86
0.45,0.0,0.0,20.08
0.103,0.0,0.0,20.08
0.109,0.0,0.0,20.08
0.08,0.0,0.213,20.08
0.093,0.0,0.287,19.42
0.098,0.0,0.019,19.42
0.08,0.0,0.021,19.42
0.089,0.0,0.02,19.42
0.1,0.0,0.015,18.1
0.088,0.0,0.027,18.1
0.085,0.0,0.063,18.1
0.09,0.0,0.035,18.1
0.078,0.07,0.019,15.76
0.082,0.01,0.038,15.76
0.098,0.0,0.133,15.76
0.08,0.0,0.433,15.76
0.082,0.0,0.502,14.78
0.08,0.0,0.501,14.78
0.07,0.0,0.483,14.78
0.08,0.0,0.517,14.78
0.078,0.0,0.162,14.97
0.072,0.0,0.159,14.97
0.09,0.0,0.41,14.97
0.088,0.0,0.57,14.97
0.062,0.0,0.062,16.01
0.08,0.0,0.056,16.01
0.098,0.0,0.077,16.01
0.062,0.0,0.065,16.01
0.098,0.0,0.071,20.12
0.127,0.0,0.354,20.12
0.18,0.0,0.211,20.12
0.113,0.0,0.079,20.12
0.187,0.0,0.088,23.71
0.15,0.0,0.312,23.71
0.198,0.0,0.094,23.71
0.217,0.0,0.099,23.71
0.212,0.02,0.262,24.5
0.228,0.1,0.069,24.5
0.195,0.09,0.232,24.5
0.182,0.25,0.069,24.5
0.113,0.66,0.206,27.8
0.09,0.26,0.085,27.8
0.087,0.22,0.158,27.8
0.08,0.215,0.131,27.8
0.08,0.2,0.117,29.99
0.09,0.19,0.166,29.99
0.08,0.16,0.096,29.99
0.073,0.18,0.21,29.99
0.08,0.19,0.067,24.7
0.07,0.195,0.218,24.7
0.088,0.2,0.058,24.7
0.087,0.185,0.137,24.7
0.075,0.2,0.158,21.1
0.08,0.1,0.099,21.1
0.07,0.08,0.563,21.1
0.08,0.07,0.28,21.1
0.078,0.085,0.064,19.31
0.07,0.06,0.066,19.31
0.08,0.055,0.204,19.31
0.08,0.045,0.127,19.31
0.082,0.06,0.07,17.92
0.08,0.06,0.232,17.92
0.07,0.075,0.054,17.92
0.087,0.065,0.278,17.92
0.07,0.065,0.065,16.1
0.081,0.065,0.246,16.1
0.082,0.05,0.225,16.1
0.1,0.05,0.263,16.1
0.115,0.05,0.172,15.91
0.092,0.05,0.172,15.91
0.081,0.045,0.544,15.91
0.082,0.055,0.33,15.91
0.095,0.045,0.002,18.58
0.082,0.055,0.0,18.58
0.08,0.06,0.206,18.58
0.073,0.075,0.014,18.58
0.125,0.065,0.125,20.98
0.167,0.065,0.005,20.98
0.196,0.055,0.0,20.98
0.147,0.05,0.08,20.98
0.103,0.03,0.0,22.09
0.127,0.02,0.006,22.09
0.093,0.0,0.004,22.09
0.13,0.01,0.004,22.09
0.322,0.0,0.006,22.94
0.498,0.0,0.0,22.94
0.149,0.0,0.0,22.94
0.138,0.0,0.0,22.94
0.17,0.0,0.075,24.09
0.152,0.0,0.211,24.09
0.145,0.0,0.133,24.09
0.641,0.0,0.068,24.09
0.755,0.0,0.043,23.99
0.64,0.0,0.0,23.99
0.904,0.0,0.0,23.99
0.333,0.0,0.036,23.99
0.112,0.0,0.084,25.01
0.121,0.0,0.0,25.01
0.277,0.0,0.009,25.01
0.393,0.0,0.103,25.01
0.285,0.0,0.314,25.0
0.427,0.0,0.201,25.0
0.098,0.0,0.211,25.0
0.097,0.0,0.274,25.0
0.095,0.0,0.756,21.74
0.098,0.0,0.337,21.74
0.079,0.0,0.1,21.74
0.101,0.0,0.072,21.74
0.179,0.0,0.041,21.09
0.103,0.0,0.022,21.09
0.098,0.0,0.036,21.09
0.07,0.0,0.041,21.09
0.13,0.0,0.278,19.9
0.099,0.0,0.378,19.9
0.09,0.0,0.063,19.9
0.093,0.005,0.062,19.9
0.088,0.19,0.049,20.44
0.09,0.005,0.05,20.44
0.08,0.01,0.057,20.44
0.117,0.0,0.073,20.44
0.133,0.0,0.071,21.99
0.117,0.02,0.078,21.99
0.13,0.04,0.051,21.99
0.14,0.115,0.058,21.99
0.158,0.115,0.053,26.58
0.182,0.02,0.05,26.58
0.17,0.085,0.077,26.58
0.18,0.145,0.083,26.58
0.17,0.135,0.093,30.81
0.168,0.165,0.114,30.81
0.202,0.165,0.08,30.81
0.178,0.18,0.058,30.81
0.172,0.17,0.07,32.89
0.113,0.11,0.056,32.89
0.072,0.14,0.039,32.89
0.108,0.155,0.059,32.89
0.11,0.18,0.031,32.94
0.09,0.175,0.036,32.94
0.102,0.24,0.061,32.94
0.07,0.18,0.049,32.94
0.08,0.2,0.034,33.64
0.095,0.21,0.049,33.64
0.092,0.215,0.03,33.64
0.083,0.215,0.031,33.64
0.067,0.205,0.039,29.46
0.081,0.205,0.031,29.46
0.08,0.2,0.041,29.46
0.072,0.18,0.039,29.46
0.09,0.77,0.05,29.43
0.078,0.27,0.056,29.43
0.079,0.185,0.025,29.43
0.071,0.185,0.038,29.43
0.072,0.175,0.039,26.69
0.088,0.145,0.029,26.69
0.08,0.16,0.034,26.69
0.092,0.135,0.041,26.69
0.078,0.115,0.027,23.93
0.072,0.12,0.048,23.93
0.088,0.11,0.057,23.93
0.062,0.09,0.027,23.93
0.09,0.06,0.048,22.73
0.088,0.065,0.049,22.73
0.08,0.045,0.109,22.73
0.112,0.055,0.1,22.73
0.07,0.04,0.078,22.47
0.088,0.055,0.063,22.47
0.08,0.045,0.068,22.47
0.12,0.06,0.043,22.47
0.115,0.06,0.041,23.4
0.105,0.07,0.233,23.4
0.092,0.055,0.423,23.4
0.087,0.07,0.19,23.4
0.121,0.055,0.053,37.23
0.64,0.05,0.168,37.23
0.147,0.04,0.075,37.23
0.123,0.055,0.03,37.23
0.097,0.03,0.17,47.97
0.085,0.025,0.0,47.97
0.095,0.005,0.111,47.97
0.112,0.015,0.009,47.97
0.111,0.0,0.03,50.73
0.097,0.09,0.08,50.73
0.13,0.0,0.0,50.73
0.103,0.0,0.14,50.73
0.07,0.0,0.0,44.81
0.09,0.0,0.168,44.81
0.09,0.0,0.217,44.81
0.099,0.0,0.115,44.81
0.101,0.0,0.14,42.01
0.09,0.0,0.006,42.01
0.092,0.0,0.076,42.01
0.108,0.0,0.048,42.01
0.112,0.0,0.434,39.98
0.088,0.0,0.458,39.98
0.069,0.0,0.251,39.98
0.093,0.0,0.117,39.98
0.077,0.0,0.055,38.18
0.091,0.0,0.145,38.18
0.305,0.0,0.008,38.18
0.707,0.0,0.149,38.18
0.558,0.0,0.044,33.53
0.482,0.0,0.077,33.53
0.11,0.0,0.099,33.53
0.108,0.02,0.013,33.53
0.082,0.0,0.012,30.66
0.108,0.0,0.044,30.66
0.104,0.0,0.053,30.66
0.098,0.0,0.055,30.66
0.108,0.0,0.057,28.9
0.099,0.0,0.053,28.9
0.108,0.0,0.09,28.9
0.298,0.0,0.309,28.9
0.507,0.0,0.262,28.47
0.218,0.0,0.11,28.47
0.13,0.0,0.2,28.47
0.187,0.0,0.172,28.47
0.167,0.0,0.103,28.42
0.143,0.0,0.237,28.42
0.123,0.0,0.06,28.42
0.097,0.03,0.256,28.42
0.123,0.0,0.074,32.63
0.109,0.0,0.258,32.63
0.128,0.0,0.094,32.63
0.345,0.0,0.217,32.63
0.435,0.0,0.129,35.32
0.343,0.0,0.143,35.32
0.534,0.01,0.18,35.32
0.143,0.0,0.069,35.32
0.137,0.025,0.25,34.41
0.121,0.12,0.07,34.41
0.12,0.11,0.235,34.41
0.182,0.14,0.073,34.41
0.062,0.14,0.197,34.47
0.115,0.155,0.13,34.47
0.083,0.175,0.095,34.47
0.073,0.19,0.188,34.47
0.08,0.18,0.066,33.16
0.079,0.19,0.231,33.16
0.081,0.18,0.051,33.16
0.077,0.19,0.177,33.16
0.07,0.15,0.123,27.23
0.1,0.17,0.104,27.23
0.072,0.17,0.226,27.23
0.08,0.18,0.051,27.23
0.078,0.17,0.501,25.25
0.063,0.175,0.506,25.25
0.08,0.155,0.052,25.25
0.067,0.175,0.05,25.25
0.082,0.175,0.207,23.7
0.088,0.17,0.147,23.7
0.072,0.13,0.064,23.7
0.088,0.08,0.236,23.7
0.07,0.13,0.096,22.61
0.072,0.08,0.163,22.61
0.08,0.08,0.125,22.61
0.068,0.08,0.142,22.61
0.092,0.055,0.169,20.79
0.098,0.04,0.04,20.79
0.083,0.045,0.363,20.79
0.125,0.04,0.098,20.79
0.08,0.05,0.152,20.66
0.112,0.05,0.224,20.66
0.087,0.07,0.073,20.66
0.123,0.055,0.23,20.66
0.117,0.065,0.041,23.63
0.17,0.055,0.222,23.63
0.165,0.06,0.035,23.63
0.078,0.035,0.056,23.63
0.1,0.045,0.176,27.97
0.09,0.04,0.05,27.97
0.08,0.05,0.208,27.97
0.528,0.255,0.0,27.97
0.267,0.43,0.18,33.09
0.782,0.035,0.0,33.09
0.658,0.09,0.076,33.09
0.932,0.0,0.104,33.09
0.42,0.065,0.0,34.94
0.361,0.025,0.17,34.94
0.185,0.0,0.0,34.94
0.424,0.0,0.121,34.94
0.448,0.0,0.044,34.0
0.328,0.0,0.449,34.0
0.584,0.0,0.652,34.0
0.403,0.0,0.156,34.0
0.215,0.0,0.172,34.87
0.11,0.0,0.056,34.87
0.125,0.0,0.206,34.87
0.13,0.0,0.054,34.87
0.1,0.0,0.0,34.75
0.08,0.0,0.108,34.75
0.14,0.0,0.032,34.75
0.11,0.0,0.016,34.75
0.12,0.0,0.094,35.9
0.1,0.08,0.0,35.9
0.095,0.02,0.103,35.9
0.105,0.0,0.017,35.9
0.1,0.0,0.012,35.0
0.11,0.0,0.159,35.0
0.1,0.0,0.009,35.0
0.09,0.0,0.186,35.0
0.095,0.0,0.289,33.82
0.09,0.0,0.505,33.82
0.1,0.0,0.568,33.82
0.095,0.0,0.497,33.82
0.1,0.0,0.661,32.13
0.1,0.0,0.339,32.13
0.09,0.0,0.14,32.13
0.125,0.0,0.187,32.13
0.2,0.0,0.105,31.97
0.155,0.0,0.25,31.97
0.13,0.0,0.099,31.97
0.09,0.0,0.269,31.97
0.3,0.0,0.095,36.84
0.085,0.0,0.205,36.84
0.12,0.0,0.178,36.84
0.155,0.0,0.108,36.84
0.125,0.0,0.252,38.02
0.125,0.0,0.11,38.02
0.095,0.0,0.183,38.02
0.105,0.0,0.157,38.02
0.195,0.0,0.145,39.98
0.18,0.0,0.184,39.98
0.125,0.0,0.103,39.98
0.12,0.03,0.29,39.98
0.12,0.195,0.099,38.17
0.105,0.1,0.198,38.17
0.15,0.12,0.125,38.17
0.11,0.13,0.058,38.17
0.07,0.14,0.238,37.96
0.095,0.15,0.055,37.96
0.09,0.18,0.245,37.96
0.08,0.215,0.056,37.96
0.13,0.205,0.161,38.19
0.08,0.175,0.712,38.19
0.09,0.185,0.279,38.19
0.08,0.175,0.051,38.19
0.075,0.185,0.053,32.89
0.085,0.175,0.288,32.89
0.075,0.185,0.049,32.89
0.095,0.17,0.068,32.89
0.09,0.18,0.221,27.04
0.075,0.18,0.065,27.04
0.085,0.14,0.288,27.04
0.07,0.16,0.11,27.04
0.085,0.14,0.139,27.66
0.085,0.15,0.197,27.66
0.09,0.095,0.11,27.66
0.09,0.06,0.222,27.66
0.075,0.05,0.05,25.09
0.085,0.06,0.196,25.09
0.08,0.05,0.137,25.09
0.085,0.06,0.105,25.09
0.11,0.045,0.253,23.77
0.09,0.07,0.062,23.77
0.095,0.065,0.277,23.77
0.125,0.075,0.039,23.77
0.085,0.065,0.131,23.95
0.125,0.075,0.229,23.95
0.085,0.065,0.04,23.95
0.125,0.055,0.191,23.95
0.09,0.05,0.167,25.08
0.105,0.059,0.233,25.08
0.13,0.046,0.018,25.08
0.095,0.055,0.015,25.08
0.105,0.05,0.427,28.91
0.095,0.055,0.468,28.91
0.12,0.05,0.0,28.91
0.105,0.07,0.0,28.91
0.105,0.075,0.01,38.0
0.5,0.065,0.11,38.0
0.155,0.1,0.0,38.0
0.545,0.58,0.087,38.0
0.19,0.42,0.043,37.88
0.105,0.055,0.035,37.88
0.11,0.045,0.542,37.88
0.09,0.03,0.118,37.88
0.1,0.04,0.147,32.91
0.31,0.04,0.126,32.91
0.525,0.03,0.089,32.91
0.29,0.0,0.133,32.91
0.195,0.0,0.0,31.05
0.1,0.0,0.086,31.05
0.115,0.0,0.679,31.05
0.13,0.0,0.845,31.05
0.16,0.0,0.239,31.04
0.095,0.0,0.148,31.04
0.1,0.0,0.167,31.04
0.12,0.05,0.4,31.04
0.1,0.0,0.036,27.95
0.11,0.03,0.0,27.95
0.095,0.0,0.17,27.95
0.1,0.01,0.0,27.95
0.095,0.0,0.02,25.16
0.095,0.0,0.19,25.16
0.115,0.03,0.008,25.16
0.1,0.0,0.095,25.16
0.11,0.0,0.139,25.07
0.105,0.0,0.039,25.07
0.1,0.0,0.244,25.07
0.095,0.0,0.08,25.07
0.095,0.01,0.126,26.18
0.105,0.02,0.216,26.18
0.09,0.02,0.086,26.18
0.09,0.0,0.159,26.18
0.085,0.0,0.213,26.29
0.085,0.0,0.08,26.29
0.11,0.0,0.362,26.29
0.125,0.0,0.108,26.29
0.1,0.0,0.155,30.58
0.105,0.23,0.221,30.58
